case,mode_set,z_type,w_type,residual_before,residual_after,improvement,fe_fraction_after,aux_fraction_after,petrov_condition,regularization,omega,notes
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_diag,9.601334814717081e-07,9.601334821689291e-07,0.9999999992738291,0.9660035724776527,0.2585287178640173,1.0000000000000004,0.0,0.01,direct dense coarse solve; left lift p=-diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_diag_sign_flip,9.601334814717081e-07,9.608378416119054e-07,0.9992669313075601,0.9660284023288102,0.25843592222066636,1.0000000000000002,0.0,1.0,direct dense coarse solve; left lift p=+diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_diag_sign_flip,9.601334814717081e-07,9.601973935352953e-07,0.999933438619999,0.9660091512930625,0.2585078714818119,1.0000000000000002,0.0,0.3,direct dense coarse solve; left lift p=+diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_diag_sign_flip,9.601334814717081e-07,9.601407412831108e-07,0.9999924388049684,0.9660052569465489,0.25852242369208833,1.0000000000000002,0.0,0.1,direct dense coarse solve; left lift p=+diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_diag_sign_flip,9.601334814717081e-07,9.601341847095079e-07,0.9999992675630022,0.9660040633231799,0.2585268837918132,1.0000000000000002,0.0,0.03,direct dense coarse solve; left lift p=+diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_diag_sign_flip,9.601334814717081e-07,9.601335754354754e-07,0.9999999021346929,0.9660037384363176,0.2585280977515949,1.0000000000000002,0.0,0.01,direct dense coarse solve; left lift p=+diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_pfe,9.601334814717081e-07,9.601411849002465e-07,0.9999919767752289,0.9660007597180854,0.25853922763109155,1.0000000000000002,0.0,1.0,direct dense coarse solve; left lift p=-P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_pfe,9.601334814717081e-07,9.601341256367006e-07,0.9999993290885354,0.9660027116799762,0.2585319342497807,1.0000000000000002,0.0,0.3,direct dense coarse solve; left lift p=-P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_pfe,9.601334814717081e-07,9.601335374436692e-07,0.999999941703983,0.9660032876541886,0.2585297821166809,1.0000000000000002,0.0,0.1,direct dense coarse solve; left lift p=-P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_pfe,9.601334814717081e-07,9.601334815945707e-07,0.9999999998720359,0.9660034911627513,0.25852902170042025,1.0000000000000002,0.0,0.03,direct dense coarse solve; left lift p=-P_FE^-*D_j^H approximated by same-H1 AMS
