case_id,case_role,grazing_deg,incident_polarization,side,physical_port,m,n,channel_polarization,co_or_cross_polarization,analyzer_comparison_significance,reference_propagating,hybrid_propagating,reference_power_carrying,hybrid_power_carrying,reference_beta_real_per_nm,reference_beta_imag_per_nm,reference_rayleigh_warning,full3d_amplitude_real,full3d_amplitude_imag,full3d_amplitude_magnitude,full3d_amplitude_phase_rad,hybrid_m120_amplitude_real,hybrid_m120_amplitude_imag,hybrid_m120_amplitude_magnitude,hybrid_m120_amplitude_phase_rad,complex_amplitude_absolute_error,complex_amplitude_relative_error,complex_amplitude_pass,full3d_power_ratio,hybrid_m120_power_ratio,power_absolute_error,power_relative_error,power_pass,channel_pass
D005-S,historical_success_control,10,s,top,R,-4,0,s,co,significant,true,true,true,,0.46330761334951415,0,false,0.00021022333613608435,-4.9730436182263092e-05,0.00021602538586717822,-0.23228982065374404,0.00021022333614189944,-4.9730436120157986e-05,0.00021602538585854014,-0.23228982036777882,6.2376754516907973e-14,2.8874733525651427e-10,true,2.6752396102440087e-07,2.675239610030062e-07,2.1394675819104338e-17,7.997293303067133e-11,true,true
D005-S,historical_success_control,10,s,top,R,-4,0,p,cross,weak,true,true,true,,0.46330761334951415,0,false,-1.7157173330325543e-14,-2.8109462928227979e-14,3.2931907062911754e-14,-2.1188059672779462,6.7479650726433261e-15,1.0832685578974029e-14,1.2762527550392443e-14,1.0136895797654388,4.5694054016054128e-14,1.3875313667308151,true,6.2170859180478591e-27,9.3374113620964566e-28,5.283344781838213e-27,0.84981048219085298,true,true
D005-S,historical_success_control,10,s,top,R,-4,1,s,co,weak,true,true,true,,0.38921520579321023,0,false,-2.1904630881209782e-15,-1.974553855856e-14,1.9866666089407156e-14,-1.6812791693635907,9.6865613389273432e-15,6.1929967271723502e-15,1.1497072628959483e-14,0.56884414406019979,2.8528430065636008e-14,1.4359948436867964,true,1.9007432365287153e-27,6.3657271346852917e-28,1.2641705230601861e-27,0.66509273781182165,true,true
D005-S,historical_success_control,10,s,top,R,-4,1,p,cross,weak,true,true,true,,0.38921520579321023,0,false,-1.8294844672439877e-15,-1.8815890371123211e-15,2.6243838744490658e-15,-2.3421551168351744,-3.1494936634756405e-14,1.0676328669021519e-14,3.325530074253264e-14,2.8147637519199056,3.2213977547285228e-14,0.96868700110970318,true,3.3168680129918385e-29,5.3259272322417266e-27,5.292758552111808e-27,0.99377222431258083,true,true
D005-S,historical_success_control,10,s,top,R,-3,-1,s,co,weak,true,true,true,,0.38318669154444579,0,false,-6.5793748866173394e-15,1.6261224751297809e-14,1.7541824429370834e-14,1.9552663250473052,-1.2474039927167544e-14,1.627477823391043e-14,2.0505367069807229e-14,2.2247517183834495,5.8946806221521171e-15,0.28747013414022893,true,1.4589607463565797e-27,1.9935594139504731e-27,5.3459866759389345e-28,0.26816289690334494,true,true
D005-S,historical_success_control,10,s,top,R,-3,-1,p,cross,weak,true,true,true,,0.38318669154444579,0,false,5.1980982418018223e-15,8.8473672807118733e-15,1.0261390409259079e-14,1.0395960238692179,2.0517218530518456e-14,-8.7939446580714945e-14,9.0301176742894479e-14,-1.3415858077336411,9.7991646500437229e-14,1.0851646682239706,true,4.9923670697703325e-28,3.8661696467812745e-26,3.8162459760835714e-26,0.9870870460277742,true,true
D005-S,historical_success_control,10,s,top,R,-3,0,s,co,weak,true,true,true,,0.45825485130410798,0,false,9.2528367802412305e-06,-5.6860136440077311e-06,1.0860282668587728e-05,-0.55102450830751848,9.2528367876372511e-06,-5.68601372431107e-06,1.0860282716932699e-05,-0.55102451425075827,8.0643210235052959e-14,7.42551665890971e-09,true,6.6876417390115638e-10,6.6876417985521587e-10,5.9540594908416472e-18,8.9030777517579833e-09,true,true
D005-S,historical_success_control,10,s,top,R,-3,0,p,cross,weak,true,true,true,,0.45825485130410798,0,false,9.8187267238008974e-15,3.7308546451859592e-15,1.0503650358812766e-14,0.36312373659705971,-3.5397247569577419e-16,1.3405095771010936e-14,1.3409768422442107e-14,1.5971960068141871,1.4038331466525625e-14,1.0468735196822323,true,6.2556328970646255e-28,1.019608147846757e-27,3.9404485814029445e-28,0.38646695691129157,true,true
D005-S,historical_success_control,10,s,top,R,-3,1,s,co,weak,true,true,true,,0.38318669154444579,0,false,1.8109838199869139e-14,-1.6588515065609881e-14,2.4559012026288953e-14,-0.74158197929198089,3.1913470281826591e-14,-1.0939356476024096e-14,3.3736317308481662e-14,-0.33022992671532492,1.4914866792041284e-14,0.44210121263862817,true,2.8596696808737059e-27,5.3962173370857633e-27,2.5365476562120574e-27,0.47006032147362031,true,true
D005-S,historical_success_control,10,s,top,R,-3,1,p,cross,weak,true,true,true,,0.38318669154444579,0,false,4.525932635555355e-15,-1.9950066433532784e-15,4.9461214834058373e-15,-0.41517239256562605,-5.4176691801744959e-14,-6.2037679249053524e-14,8.236375162163089e-14,-2.2886552437295835,8.3970951223991936e-14,1.019513433649117,true,1.1599082711524769e-28,3.2163724081337931e-26,3.2047733254222681e-26,0.99639373765233397,true,true
