p,h_nm,mpi_ranks,solver_profile,side,order_m,order_n,polarization,power,amplitude_real,amplitude_imag,is_propagating
1,5.0,8,default,reflection,-3,6,p,4.3358696113727746e-16,1.1990921170122886e-08,-2.9640295456945133e-08,True
1,5.0,8,default,reflection,-2,-7,s,8.82833473766112e-19,1.6640365635182698e-09,-1.418995093175655e-09,True
1,5.0,8,default,reflection,-2,-7,p,4.1314596410022705e-18,-1.3777777732934121e-09,-4.525819540951621e-09,True
1,5.0,8,default,reflection,-2,-6,s,2.722496507714155e-15,-1.070253445819875e-09,-7.230923674707214e-08,True
1,5.0,8,default,reflection,-2,-6,p,2.259540568129561e-15,-4.321857215322892e-08,-4.972536994888355e-08,True
1,5.0,8,default,reflection,-2,-5,s,5.5446222694759314e-15,8.985894127459098e-08,6.103442419847011e-10,True
1,5.0,8,default,reflection,-2,-5,p,3.198655056552157e-14,-2.0949184193379505e-07,5.1935606614029214e-08,True
1,5.0,8,default,reflection,-2,-4,s,2.1961574288780034e-15,2.326823804792556e-08,4.704772216727862e-08,True
1,5.0,8,default,reflection,-2,-4,p,3.0962614778229917e-14,-5.175786066374219e-08,-1.9016093257385412e-07,True
1,5.0,8,default,reflection,-2,-3,s,1.600742475869001e-13,-4.279525562622308e-07,1.0199234851580829e-08,True
1,5.0,8,default,reflection,-2,-3,p,3.075971000594932e-13,5.852598235623575e-07,9.796616370108622e-08,True
1,5.0,8,default,reflection,-2,-2,s,8.070958588436553e-13,-8.640504934999112e-07,3.5592176019753074e-07,True
1,5.0,8,default,reflection,-2,-2,p,6.343270135333087e-13,7.583538942200892e-07,-3.3351171987821796e-07,True
1,5.0,8,default,reflection,-2,-1,s,3.134061494643474e-11,3.168976163989657e-06,-4.778264159736294e-06,True
1,5.0,8,default,reflection,-2,-1,p,6.975504228196868e-12,-1.4960146100664159e-06,2.253614822398221e-06,True
1,5.0,8,default,reflection,-2,0,s,8.273928671844828e-11,-3.910859255960865e-06,8.40451700491541e-06,True
1,5.0,8,default,reflection,-2,0,p,4.0423848905996793e-29,6.479313117310794e-15,-3.985935862227893e-17,True
1,5.0,8,default,reflection,-2,1,s,3.134061485825359e-11,3.168976152924213e-06,-4.778264157396125e-06,True
1,5.0,8,default,reflection,-2,1,p,6.975504220985141e-12,1.496014608658241e-06,-2.2536148216546783e-06,True
1,5.0,8,default,reflection,-2,2,s,8.07095854512901e-13,-8.640504920482622e-07,3.5592175713898767e-07,True
1,5.0,8,default,reflection,-2,2,p,6.343270100498287e-13,-7.583538919256508e-07,3.3351171944484303e-07,True
1,5.0,8,default,reflection,-2,3,s,1.600742435458532e-13,-4.2795255088104233e-07,1.0199233858227906e-08,True
1,5.0,8,default,reflection,-2,3,p,3.07597100237885e-13,-5.852598244979267e-07,-9.796615915418328e-08,True
1,5.0,8,default,reflection,-2,4,s,2.1961577572808574e-15,2.3268237774941215e-08,4.704772668033567e-08,True
1,5.0,8,default,reflection,-2,4,p,3.096261539853255e-14,5.1757863782223577e-08,1.90160933771016e-07,True
1,5.0,8,default,reflection,-2,5,s,5.5446218156866965e-15,8.98589375549798e-08,6.103504656659309e-10,True
1,5.0,8,default,reflection,-2,5,p,3.19865478283423e-14,2.0949183286272225e-07,-5.1935604826193755e-08,True
1,5.0,8,default,reflection,-2,6,s,2.722496127656802e-15,-1.0702529504741236e-09,-7.230923170615515e-08,True
1,5.0,8,default,reflection,-2,6,p,2.2595418670200244e-15,4.321858703933249e-08,4.9725382099491265e-08,True
1,5.0,8,default,reflection,-2,7,s,8.8283791108133e-19,1.6640408698504463e-09,-1.4189985133438492e-09,True
1,5.0,8,default,reflection,-2,7,p,4.131460981638985e-18,1.3777746808493563e-09,4.525821284724897e-09,True
1,5.0,8,default,reflection,-1,-7,s,4.576025287901431e-13,-1.126322954339103e-06,5.171485755653621e-07,True
